id;imie;nazwisko;miasto;ilosc;kwota;wpsolczynnik
1;Paweł;Wiśniewski;Lublin;38;4108.16;0.232
2;Anna;Szymański;Wrocław;45;2173.89;0.198
3;Piotr;Szymański;Lublin;424;2831.61;1.426
4;Anna;Woźniak;Lublin;500;1113.20;0,879
5;Tomasz;Kowalczyk;lublin;277;597,78;0.532
6;Katarzyna;Nowak;wroclaw;50;2743.24;0.188
7;Anna;Woźniak;WROCŁAW;349;2663.28;1.188
8;Andrzej;Woźniak;KATOWICE;154;1249.65;0,352
9;Agnieszka;Nowak;POZNAŃ;449;1723.94;0.728
10;Piotr;Nowak;lublin;388;1716,86;1.407
11;Barbara;Kowalski;Kraków ;294;3947.58;1.246
12;Paweł;Kozłowski;GDAŃSK;297;3986.49;0,196
13;Piotr;Kowalczyk;Katowice;32;3658.49;0.533
14;Andrzej;Kowalczyk;LUBLIN;12;4703.84;0.598
15;Maria;Zieliński;warszawa;394;1444,29;1.134
16;Michał;Lewandowski;Katowice;86;2251.45;0,869
17;Tomasz;Kwiatkowski;LUBLIN;362;2082.33;0.602
18;Michał;Wójcik;Łódź;91;764.98;1.022
19;Jan;Zieliński;łódź;145;30.43;0.687
20;Joanna;Woźniak;Gdansk;354;4297,42;1,43
21;Anna;Zieliński;Lubln;205;1976.66;0.774
22;Michał;Kowalski;Wrocław;107;2208.73;0.254
23;Anna;Nowak;Warszawa ;78;2687.73 zł;1.429
24;Jan;Nowak;WROCŁAW;77;3175.70;1,438
25;Joanna;Zieliński;Kraków;435;2445,46;1.469
26;Ewa;Zieliński;Poznań;74;519.92;0.58
27;Krzysztof;Zieliński;Łodz;12;1034.02;1.433
28;Joanna;Wiśniewski;Warszwa;271;1497.47;1,0
29;Piotr;Kozłowski;poznan;466;843.54;1.181
30;Paweł;Dąbrowski;Wroclaw;413;1204,54;0.661
31;Agnieszka;Wójcik;KATOWICE;375;154.61;0.139
32;Krzysztof;Zieliński;Poznan;355;3029.64;0,582
33;Joanna;Kamiński;krakow;53;1141.96;0.375
34;Marcin;Zieliński; Warszawa;466;3268.36;1.22
35;Piotr;Kwiatkowski;KRAKÓW;401;3560,35;0.379
36;Katarzyna;Lewandowski;Gdańsk;411;4731.37;1,111
37;Andrzej;Lewandowski;Krakow ;82 szt;858.32;0.278
38;Tomasz;Woźniak;katowice;314;4134.29;1.472
39;Joanna;Wiśniewski;Łódź;8;3998.79;1.117
40;Maria;Szymański;LODZ;447;982,08;1,323
41;Jan;Kowalczyk;wroclaw;257;1210.29;0.921
42;Krzysztof;Szymański;lublin;32;4550.99;0.595
43;Andrzej;Dąbrowski;lublin;273;767.66;0.815
44;Andrzej;Mazur;Łodz;3;3882.43;0,31
45;Tomasz;Zieliński;Kraków ;32;1636,65;0.826
46;Ewa;Mazur;Kraków ;30;1249.99 zł;0.488
47;Maria;Szymański;Katowice;390;4471.12;0.189
48;Paweł;Woźniak;wroclaw;232;2545.70;1,23
49;Agnieszka;Kozłowski;Poznan;431;2243.17;0.683
50;  Michał ;Zieliński;Gdańsk;344;1210,79;0.202
51;Magdalena;Mazur;krakow;482;3583.44;1.024
52;Tomasz;Kowalczyk;LODZ;113;3735.94;0,232
53;Ewa;Wiśniewski;Wroclaw;362;2163.29;0.822
54;Paweł;Lewandowski;wroclaw;164;470.05;0.612
55;Paweł;Szymański;Katowic;361;100,23;0.564
56;Magdalena;Szymański;Kraków;471;3943.93;1,46
57;Maria;Nowak;poznan;21;4530.43;0.354
58;Tomasz;Kwiatkowski;LUBLIN;208;755.35;1.387
59;Ewa;Kozłowski;Gdańsk;143;297.06;1.063
60;Barbara;Nowak;Poznań;325;451.94;0,465
61;Agnieszka;Nowak;Poznań;233;67.62;1.492
62;Barbara;Kowalczyk;Łódź;270;3550.59;1.413
