id;imie;nazwisko;miasto;ilosc;kwota;wspolczynnik
1;Paweł;Wiśniewski;Lublin;38;4108.16;0.232
2;Anna;Szymański;Wrocław;45;2173.89;0.198
3;Piotr;Szymański;Lublin;424;2831.61;1.000
4;Anna;Woźniak;Lublin;500;1113.20;0.879
5;Tomasz;Kowalczyk;Lublin;277;597.78;0.532
6;Katarzyna;Nowak;Wrocław;50;2743.24;0.188
7;Anna;Woźniak;Wrocław;349;2663.28;1.000
8;Andrzej;Woźniak;Katowice;154;1249.65;0.352
9;Agnieszka;Nowak;Poznań;449;1723.94;0.728
10;Piotr;Nowak;Lublin;388;1716.86;1.000
11;Barbara;Kowalski;Kraków;294;3947.58;1.000
12;Paweł;Kozłowski;Gdańsk;297;3986.49;0.196
13;Piotr;Kowalczyk;Katowice;32;3658.49;0.533
14;Andrzej;Kowalczyk;Lublin;12;4703.84;0.598
15;Maria;Zieliński;Warszawa;394;1444.29;1.000
16;Michał;Lewandowski;Katowice;86;2251.45;0.869
17;Tomasz;Kwiatkowski;Lublin;362;2082.33;0.602
18;Michał;Wójcik;Łódź;91;764.98;1.000
19;Jan;Zieliński;Łódź;145;30.43;0.687
20;Joanna;Woźniak;Gdańsk;354;4297.42;1.000
21;Anna;Zieliński;Lublin;205;1976.66;0.774
22;Michał;Kowalski;Wrocław;107;2208.73;0.254
23;Anna;Nowak;Warszawa;78;2687.73;1.000
24;Jan;Nowak;Wrocław;77;3175.70;1.000
25;Joanna;Zieliński;Kraków;435;2445.46;1.000
26;Ewa;Zieliński;Poznań;74;519.92;0.580
27;Krzysztof;Zieliński;Łódź;12;1034.02;1.000
28;Joanna;Wiśniewski;Warszawa;271;1497.47;1.000
29;Piotr;Kozłowski;Poznań;466;843.54;1.000
30;Paweł;Dąbrowski;Wrocław;413;1204.54;0.661
31;Agnieszka;Wójcik;Katowice;375;154.61;0.139
32;Krzysztof;Zieliński;Poznań;355;3029.64;0.582
33;Joanna;Kamiński;Kraków;53;1141.96;0.375
34;Marcin;Zieliński;Warszawa;466;3268.36;1.000
35;Piotr;Kwiatkowski;Kraków;401;3560.35;0.379
36;Katarzyna;Lewandowski;Gdańsk;411;4731.37;1.000
37;Andrzej;Lewandowski;Kraków;252;858.32;0.278
38;Tomasz;Woźniak;Katowice;314;4134.29;1.000
39;Joanna;Wiśniewski;Łódź;8;3998.79;1.000
40;Maria;Szymański;Łódź;447;982.08;1.000
41;Jan;Kowalczyk;Wrocław;257;1210.29;0.921
42;Krzysztof;Szymański;Lublin;32;4550.99;0.595
43;Andrzej;Dąbrowski;Lublin;273;767.66;0.815
44;Andrzej;Mazur;Łódź;3;3882.43;0.310
45;Tomasz;Zieliński;Kraków;32;1636.65;0.826
46;Ewa;Mazur;Kraków;30;1249.99;0.488
47;Maria;Szymański;Katowice;390;4471.12;0.189
48;Paweł;Woźniak;Wrocław;232;2545.70;1.000
49;Agnieszka;Kozłowski;Poznań;431;2243.17;0.683
50;Michał;Zieliński;Gdańsk;344;1210.79;0.202
51;Magdalena;Mazur;Kraków;482;3583.44;1.000
52;Tomasz;Kowalczyk;Łódź;113;3735.94;0.232
53;Ewa;Wiśniewski;Wrocław;362;2163.29;0.822
54;Paweł;Lewandowski;Wrocław;164;470.05;0.612
55;Paweł;Szymański;Katowice;361;100.23;0.564
56;Magdalena;Szymański;Kraków;471;3943.93;1.000
57;Maria;Nowak;Poznań;21;4530.43;0.354
58;Tomasz;Kwiatkowski;Lublin;208;755.35;1.000
59;Ewa;Kozłowski;Gdańsk;143;297.06;1.000
60;Barbara;Nowak;Poznań;325;451.94;0.465
61;Agnieszka;Nowak;Poznań;233;67.62;1.000
62;Barbara;Kowalczyk;Łódź;270;3550.59;1.000
