nr_zamowienia;data_zamowienia;klient;miasto;wojewodztwo;kategoria;produkt;ilosc;cena_jedn;rabat_proc;wartosc;status
ZAM/2024/00001;2025-04-08;Monika Krawczyk;Katowice;śląskie;Spożywcze;Herbata zielona;33;2384,05;10;70806,29;Zrealizowane
ZAM/2024/00002;2025-04-02;Magdalena Kowalczyk;Kraków;małopolskie;Elektronika;Tablet Mini;26;4824,13;15;106613,27;W trakcie
ZAM/2024/00003;2024-01-16;Robert Wiśniewski;Warszawa;mazowieckie;Elektronika;Smartfon X;16;3002,08;20;38426,62;Anulowane
ZAM/2024/00004;2025-03-27;Łukasz Lewandowski;Szczecin;zachodniopomorskie;Spożywcze;Czekolada;32;32,91;0;1053,12;Anulowane
ZAM/2024/00005;2025-02-20;Monika Wiśniewski;Rzeszów;podkarpackie;Meble;Szafa 3D;49;1156,02;0;56644,98;Zrealizowane
ZAM/2024/00006;2024-04-20;Michał Wójcik;Poznań;wielkopolskie;Książki;Powieść kryminał;2;4238,07;0;8476,14;W trakcie
ZAM/2024/00007;2024-02-23;Ewa Mazur;Rzeszów;podkarpackie;Książki;Biografia;5;2835,54;0;14177,70;Anulowane
ZAM/2024/00008;2024-03-30;Magdalena Dąbrowski;Warszawa;mazowieckie;Książki;Powieść kryminał;9;1239,47;0;11155,23;Zrealizowane
ZAM/2024/00009;2025-04-21;Ewa Kamiński;Białystok;podlaskie;Spożywcze;Oliwa z oliwek;33;961,51;15;26970,36;Zwrot
ZAM/2024/00010;2025-01-27;Maria Mazur;Lublin;lubelskie;Spożywcze;Kawa ziarnista;18;4323,02;20;62251,49;Anulowane
ZAM/2024/00011;2024-01-21;Marcin Kamiński;Lublin;lubelskie;AGD;Pralka Eko;10;1074,07;0;10740,70;Anulowane
ZAM/2024/00012;2024-10-30;Michał Wiśniewski;Kraków;małopolskie;AGD;Lodówka XL;38;3186,56;0;121089,28;Anulowane
ZAM/2024/00013;2025-01-15;Aleksandra Krawczyk;Łódź;łódzkie;Ogród;Parasol;9;4333,95;0;39005,55;Anulowane
ZAM/2024/00014;2024-08-21;Aleksandra Zieliński;Rzeszów;podkarpackie;Spożywcze;Herbata zielona;48;3148,59;10;136019,09;Zwrot
ZAM/2024/00015;2025-05-09;Aleksandra Wiśniewski;Lublin;lubelskie;Elektronika;Laptop Pro;7;203,09;0;1421,63;Zwrot
ZAM/2024/00016;2024-09-20;Barbara Michalski;Katowice;śląskie;Meble;Regał;12;4646,88;0;55762,56;W trakcie
ZAM/2024/00017;2025-05-05;Monika Michalski;Bydgoszcz;kujawsko-pomorskie;AGD;Mikrofalówka;14;4587,62;0;64226,68;Zrealizowane
ZAM/2024/00018;2024-10-02;Barbara Krawczyk;Wrocław;dolnośląskie;Elektronika;Laptop Pro;12;1416,98;10;15303,38;W trakcie
ZAM/2024/00019;2024-04-04;Joanna Kowalczyk;Katowice;śląskie;Zabawki;Gra planszowa;38;4734,79;10;161929,82;Zrealizowane
ZAM/2024/00020;2025-05-01;Joanna Woźniak;Warszawa;mazowieckie;Elektronika;Tablet Mini;41;383,41;0;15719,81;Anulowane
ZAM/2024/00021;2024-05-19;Piotr Wiśniewski;Katowice;śląskie;Zabawki;Klocki XXL;48;3688,36;0;177041,28;Anulowane
ZAM/2024/00022;2024-03-27;Ewa Wiśniewski;Lublin;lubelskie;Elektronika;Monitor 27;37;82,51;15;2594,94;Zwrot
ZAM/2024/00023;2024-01-13;Aleksandra Wiśniewski;Kraków;małopolskie;AGD;Pralka Eko;17;4400,15;15;63582,17;Zwrot
ZAM/2024/00024;2025-04-13;Andrzej Krawczyk;Szczecin;zachodniopomorskie;AGD;Czajnik;49;2577,50;0;126297,50;Zrealizowane
ZAM/2024/00025;2025-05-07;Jan Zieliński;Rzeszów;podkarpackie;AGD;Odkurzacz Robot;50;3076,36;5;146127,10;Zrealizowane
ZAM/2024/00026;2025-01-11;Magdalena Kowalczyk;Białystok;podlaskie;Spożywcze;Miód;11;3771,31;0;41484,41;Zwrot
ZAM/2024/00027;2024-09-04;Paweł Mazur;Białystok;podlaskie;Meble;Stół dębowy;41;2160,16;20;70853,25;W trakcie
ZAM/2024/00028;2025-01-28;Agnieszka Pawłowski;Gdańsk;pomorskie;Spożywcze;Herbata zielona;9;2487,36;20;17908,99;Zrealizowane
ZAM/2024/00029;2024-10-10;Katarzyna Wójcik;Katowice;śląskie;Ogród;Donica ceramiczna;14;4156,16;5;55276,93;Zwrot
ZAM/2024/00030;2024-11-18;Aleksandra Krawczyk;Gdańsk;pomorskie;AGD;Pralka Eko;18;4365,41;0;78577,38;Anulowane
ZAM/2024/00031;2024-11-12;Łukasz Kowalski;Białystok;podlaskie;Odzież;Sukienka;30;957,68;20;22984,32;W trakcie
