id_klienta;imie;nazwisko;email;telefon;pesel;data_urodzenia
K00001;Anna;Piotrowska;anna.piotrowska1@dane.test;+48 346 385 947;50071494109;1950-07-14
K00002;Mateusz;Jankowski;mateusz.jankowski2@dane.test;+48971291915;96021054041;1967-04-19
K00003;Antonina;Mazur;antonina.mazur3@example.com;886628157;05280391268;2005-08-03
K00004;Łukasz;Wójcik;lukasz.wojcik4@dane.test;+48111226921;04220707033;2004-02-07
K00005;Aleksandra;Król;aleksandra.krol5@example.com;+48 626 636 645;62111723160;1962-11-17
K00006;Andrzej;Kozłowski;andrzej.kozlowski6@example.org;286829451;02212229770;2002-01-22
K00007;Wojciech;Wójcik;wojciech.wojcik7@example.com;+48587629695;97042245454;1997-04-22
K00008;Jan;Kozłowski;jan.kozlowski8@dane.test;584678633;60043070754;1960-05-01
K00009;Anna;Pawłowska;anna.pawlowska9@firma.test;+48 712 747 352;66052314403;1966-05-23
K00010;Grzegorz;Król;grzegorz.krol10@demo.pl;+48 144 866 601;05251292770;2005-05-12
K00011;Monika;Woźniak;monika.wozniak11@szkolenie.pl;+48 597 671 471;96080298840;1996-08-02
K00012;Paulina;Kamińska;paulina.kaminska12@demo.pl;+48469988524;90092584568;1990-09-25
K00013;Ewa;;ewa.mazur13@mail.test;+48167509249;00270683163;2000-07-06
K00014;Aleksandra;Mazur;aleksandra.mazur14@example.org;+48 959 025 656;91052537361;1991-05-25
K00015;Andrzej;Michalski;andrzej.michalski15@example.org;952695219;92033076514;1992-03-30
K00016;Joanna;Wiśniewska;joanna.wisniewska16@example.org;+48 585 216 103;59073156789;1959-07-31
K00017;Sylwia;Woźniak;sylwia.wozniak17@szkolenie.pl;426137010;66112749961;1966-11-27
K00018;Ewa;Michalska;ewa test@demo.pl;+48 484 074 627;95040860783;1995-04-08
K00019; Maria;Kowalska;maria.kowalska19@mail.test;+48 737 541 906;74062151800;1974-06-21
K00020;Paweł;Kozłowski;pawel.kozlowski20@firma.test;+48 105 309 279;82010618956;1982-01-07
K00021;Artur;Nowak;artur.nowak21@mail.test;+48 537 886 712;96021219079;1996-02-12
K00022;Karolina;Piotrowska;karolina.piotrowska22@example.com;561321513;81100410706;2024-13-40
K00023;Marta;Mazur;marta.mazur23@demo.pl;+48 628 978 385;03241319980;2003-04-13
K00024;Tomasz;Wójcik;tomasz.wojcik24@szkolenie.pl;+48643600809;123456789012;1995-07-22
K00025;   ;Krawczyk;wojciech.krawczyk25@example.org;+48789288934;45060997653;1945-06-09
K00026;Jakub;Kozłowski;ewa test@demo.pl;+48857567473;83061206572;1983-06-12
K00027;Elżbieta;Kamińska;elzbieta.kaminska27@szkolenie.pl;+48145141818;;1962-12-04
K00028;Adam;Grabowski;adam.grabowski28@demo.pl;+48858637550;46060291495;1946-06-02
K00029;Rafał;;rafal.nowak29@dane.test;+48645790653;72021382050;1972-02-13
K00030;Marta;Woźniak;aleksandra.kaminska678@example.com;+48353566011;62050715147;1962-05-07
K00031;Małgorzata;Pawłowska;malgorzata.pawlowska31@dane.test;288090386;89061761282;1989-06-17
K00032;Dariusz;Wójcik;dariusz.wojcik32@szkolenie.pl;698213716;68120876770;1968-12-08
K00033;Magdalena;Dąbrowska;magdalena.dabrowska33@dane.test;abcdefghi;80032522945;1980-03-25
K00034;Michał;Kozłowski;michal.kozlowski34@demo.pl;+48976926869;00231919010;2000-03-19
K00035;Magdalena;Król;magdalena.krol35@szkolenie.pl;832676162;75070562468;1975-07-04
K00036;Wojciech;Kowalczyk;wojciech.kowalczyk36@firma.test;;03242655452;2003-04-26
K00037;Agnieszka;Grabowska;agnieszka.grabowska37@firma.test;717485814;51080604143;1951-08-06
K00038;Grzegorz; ;natalia.piotrowska522@dane.test;+48 914 327 702;72103136757;1972-10-31
K00039;Elżbieta;Kozłowska;elzbieta.kozlowska39@dane.test;+48 466 828 131;79083141902;1979-08-31
K00040;Monika;Wójcik;monika.wojcik40@example.com;+48300996718;79091644507;1979-09-16
K00041;Barbara;Krawczyk;barbara.krawczyk41@example.com;+48942507502;54090240862;1954-09-02
K00042;Dariusz;Wiśniewski;@firma.test;12345;52030398954;1952-03-03
K00043;Joanna;Piotrowska;joanna.piotrowska43@demo.pl;190910354;88092904507;1988-09-29
K00044;Antonina;Nowak;antonina.nowak44@example.org;799194508;70081357744;1970-08-13
K00045;Agnieszka;Michalska;agnieszka.michalska45@demo.pl;+48956347285;60101564508;1960-10-15
K00046;Joanna;Nowak;joanna.nowak46@mail.test;+48238431448;75011055749;1975-01-10
K00047;Artur;Szymański;artur.szymanski47@firma.test;+48 404 091 897;59041869851;1959-04-19
K00048;Paweł;;pawel.michalski48@szkolenie.pl;+48963203948;82121272236;1982-12-12
K00049;Katarzyna;;katarzyna.krol49@example.com;+48 756 367 312;99053079983;1999-05-30
K00050;Marta;Zielińska;marta.zielinska50@demo.pl;+48 963 028 523;77102412402;1977-10-24
K00051;Jan;Krawczyk;jan.krawczyk51@firma.test;548369771;71080284932;1971-08-02
K00052;Monika;Michalska;monika.michalska52@firma.test;317849465;85031258945;1985-03-12
K00053;Michał;Król;michal.krol53@dane.test;741449777;99040882840;2003-10-23
K00054;Sebastian;Nowak;sebastian.nowak54@szkolenie.pl;721083816;0202301234A;1977-11-01
K00055;Karolina; ;karolina.wozniak55@firma.test;+48371988473;57081219861;1957-08-12
K00056;   ;Pawłowski;pawel.pawlowski56@example.com;000000000;64031799399;1964-03-17
K00057;Artur;Jankowski;artur.jankowski57@mail.test;227874384;55030492772;1955-03-04
K00058;Sylwia;Król;sylwia.krol58@example.org;+48247199636;65040161580;1965-04-01
K00059;Małgorzata;Zielińska;;abcdefghi;82030185128;1982-03-01
K00060;Rafał;Wójcik;rafal.wojcik60@szkolenie.pl;+48 341 394 719;88061563757;1988-06-15
K00061;;Mazur;lukasz.mazur61@example.org;+48955116225;87090603135;1987-09-06
K00062;Barbara;Lewandowska;barbara.lewandowska62@example.com;+48 168 103 890;48020221760;1948-02-02
K00063;Marek;Wójcik;marek.wojcik63@example.com;+48 988 371 896;81050173210;1981-05-01
K00064;Sebastian;Nowak;sebastian.nowak64@szkolenie.pl;abcdefghi;90042437410;1990-04-24
K00065;Joanna;Kamińska;   ;abcdefghi;1234567890;1997-09-09
K00066;Piotr;Kozłowski;piotr.kozlowski66@mail.test;+48712348842;80090544491;1980-09-05
K00067;Natalia;NOWAK;natalia.nowak67@szkolenie.pl;680087520;82112826242;1982-11-28
K00068;Grzegorz;Kowalski;grzegorz.kowalski68@firma.test;+48980541160;61020328695;1961-02-03
K00069;Adam;Zieliński;adam.zielinski69@mail.test;624970437;93020239655;1993-02-02
K00070;Krzysztof;Mazur;krzysztof.mazur70@dane.test;+48 588 519 655;59062827179;1959-06-28
K00071;Magdalena;Kowalska;magdalena.kowalska71@example.org;+48356716813;0202301234A;1948-03-08
K00072;Aleksandra;Krawczyk;aleksandra.krawczyk72@example.org;+48809837707;93020801209;1993-02-08
K00073;Marek;Krawczyk;marek.krawczyk73@firma.test;204686927;59080568670;1959-08-05
K00074;Paulina;Grabowska;paulina.grabowska74@szkolenie.pl;+48 123;86032369263;1986-03-23
K00075;Łukasz;Jankowski;lukasz.jankowski75@firma.test;+48495406096;51070877393;1951-07-08
K00076;Paweł;Jankowski;pawel.jankowski76@example.com;251769733;84092022395;1984-09-20
K00077;Karolina;Piotrowska;karolina.piotrowska77@example.com;+48496455510;49030637321;1949-03-06
K00078;Joanna;Król;joanna.krol78@example.com;747034710;61070649285;1961-07-06
K00079;Antonina;Nowak;antonina.nowak79@example.com;+48958808749;63010169383;1963-01-01
K00080;Marek;Krawczyk;marek.krawczyk80@firma.test;+48 921 129 794;72030653857;1972-03-06
K00081;Maria;Michalska;maria.michalska81@firma.test;519746724;69011546741;1969-01-15
K00082;Aleksandra;Woźniak;aleksandra.wozniak82@example.com;402426442;;2000-11-10
K00083;Natalia;Woźniak ;natalia.wozniak83@example.org;698048834;56041467065;1956-04-14
K00084;Artur;Pawłowski;artur.pawlowski84@dane.test;+48 521 445 735;96041970932;1996-04-19
K00085;Mateusz;Kowalski;mateusz.kowalski85@firma.test;+48846496717;47071116656;1947-07-11
K00086;Małgorzata;Lewandowska;malgorzata.lewandowska86@demo.pl;+48914169679;87101585465;
K00087;Tomasz;Nowak;tomasz.nowak87@dane.test;+48 978 746 871;brak;2002-03-28
K00088;Jakub;Grabowski;jakub.grabowski88@dane.test;+48795430039;62052602616;1962-05-26
K00089;Paulina ;Michalska;paulina.michalska89@mail.test;562347481;62010991925;1962-01-09
K00090;Wojciech;Piotrowski;wojciech.piotrowski90@dane.test;263680886;59040594718;1959-04-05
K00091;Michał;Kozłowski;michal.kozlowski91@example.com;+48 775 424 210;54101465570;1954-10-14
K00092;Jan;Jankowski;jan.jankowski92@firma.test;166772217;00322816578;2000-12-28
K00093;Elżbieta;Lewandowska;elzbieta.lewandowska93@mail.test;99999999999999;97072047783;1997-07-20
K00094;Grzegorz;Jankowski;grzegorz.jankowski94@example.org;+48671708733;05301390551;2005-10-13
K00095;Sebastian;Kowalski;sebastian.kowalski95@demo.pl;+48704593773;48092052457;1948-09-20
K00096;Dorota;Krawczyk;dorota.krawczyk96@example.org;+48311689496;95013100506;1995-01-31
K00097;Paweł;Piotrowski;pawel.piotrowski97@demo.pl; ;76112239757;1976-11-22
K00098;Antonina;Zielińska;antonina.zielinska98@demo.pl;919593975;89071246904;1989-07-12
K00099;Anna;Woźniak;anna.wozniak99@demo.pl;626163739;47072522461;1947-07-25
K00100;Piotr;Kowalski;piotr.kowalski100@example.com;309790853;76112270651;1976-11-22
K00101;Ewa;Wiśniewska;ewa.wisniewska101@firma.test;+48388694437;53112062022;1953-11-20
K00102;Maria;Nowak;maria.nowak102@firma.test;+48 731 884 054;67033039322;1967-03-30
K00103;Paulina;Wójcik;   ;634805895;03291991266;2003-09-19
K00104;   ; ; PIOTR.LEWANDOWSKI104@MAIL.TEST ;454020467;50052781088;1962-08-17
K00105;Andrzej;Grabowski;;398517354;88101790891;1988-10-17
K00106;Paulina;Nowak;paulina.nowak106@example.org;870017630;76090444084;1976-09-04
K00107;;Kowalczyk;robert.kowalczyk107@firma.test;;84040305598;1984-04-03
K00108;Jakub;Mazur;jakub.mazur108@szkolenie.pl;207061277;76101109270;1976-10-11
K00109;Katarzyna;Kowalska;katarzyna.kowalska109@dane.test;+48 391 469 002;93062764281;1993-06-27
K00110;Sebastian;Jankowski;sebastian.jankowski110@demo.pl;181364001;50040293850;1950-04-02
K00111;Marta;Kozłowska;marta.kozlowska111@szkolenie.pl;+48851184924;123456789012;1976-02-13
K00112;Beata;Kowalska;beata.kowalska112@example.com;+48 632 816 817;72082231427;1972-08-22
K00113;Piotr;Zieliński;piotr.zielinski113@szkolenie.pl;+48777350712;68052886832;1968-05-28
K00114;Magdalena;Grabowska;magdalena.grabowska114@szkolenie.pl;530980223;0202301234A;1981-03-26
K00115;Wojciech;Wójcik;wojciech.wojcik115@demo.pl;+48 861 104 326;02322085859;2002-12-20
K00116;Małgorzata;Lewandowska;malgorzata.lewandowska116@example.org;+48 774 551 666;76060638581;1976-06-06
K00117;Jakub;Mazur;jakub.mazur117@example.com;+48410302572;62102099111;1962-10-20
K00118;;Jankowski;jakub.jankowski118@szkolenie.pl;580796806;54102738895;1954-10-27
K00119;Marcin;Kozłowski;marcin.kozlowski119@mail.test;417545644;74121734755;1974-12-17
K00120;Wojciech;Wójcik;wojciech.wojcik120@demo.pl;+48597910928;49090820819;1949-09-08
K00121;Marek;Wiśniewski;marek.wisniewski121@dane.test;+48370317367;90032573278;1990-03-25
K00122;Joanna;Mazur;joanna.mazur122@dane.test;455144550;75081620669;1975-08-16
K00123;Krzysztof;Krawczyk;krzysztof.krawczyk123@mail.test;+48 983 593 506;45111133478;1945-11-11
K00124;Katarzyna;Pawłowska;katarzyna.pawlowska124@demo.pl;591758576;82112858700;1982-11-28
K00125;Anna;Krawczyk;anna.krawczyk125@example.org;742300241;03222150603;2003-02-21
K00126;Dorota;Kowalska;dorota.kowalska126@szkolenie.pl;535994140;47090585329;1947-09-05
K00127;Dorota; ;dorota.kowalska127@example.org;+48 727 324 211;82011441809;1982-01-15
K00128;Łukasz;Piotrowski;;+48684499959;50042728192;1950-04-27
K00129;Barbara;Pawłowska;;+48696904957;67081725765;1967-08-17
K00130;Krzysztof;Jankowski;;+48 522 532 063;65062320239;1965-06-23
K00131;Magdalena;Szymańska;magdalena.szymanska131@dane.test;+48 803 474 786;81032218128;1980-03-22
K00132;;Wiśniewska;joanna.wisniewska132@firma.test;513664159;61090828383;1961-09-08
K00133;Adam;Nowak;adam.nowak133@mail.test;;59073188797;1959-07-31
K00134;Krzysztof;Dąbrowski;krzysztof.dabrowski134@demo.pl;+48 972 061 803;00000000000;1955-01-14
K00135;Robert;Woźniak;robert.wozniak135@mail.test;+48195058038;51040396550;1951-04-03
K00136;Michał;Zieliński;michal.zielinski136@szkolenie.pl;12345;90071332214;1990-07-13
K00137;Marta;Lewandowska;marta.lewandowska137@mail.test;+48638100760;77033087409;1977-03-30
K00138;Anna;Grabowska;anna.grabowska138@example.org;+48 966 885 539;81041085483;1981-04-10
K00139;Adam;Dąbrowski;adam.dabrowski139@example.org;12345;55092788930;1955-09-27
