id_klienta;imie;nazwisko;email;telefon;pesel;data_urodzenia
K00001;Adam;Jankowski;adam.jankowski1@example.com;163-463-859;57081680779;1957-08-16
K00002;Grzegorz;Grabowski;grzegorz.grabowski2@testmail.pl;633579712;04252593231;2004-05-25
K00003;Marek;Wójcik;marek.wojcik3@testmail.pl;967188662;83072531294;1983-07-25
K00004;Joanna;Piotrowska;;+48 113 711 122;59122258909;1959-12-22
K00005;Aleksandra;Wróbel;aleksandra.wrobel5@testmail.pl;+48 549 336 162;69040464902;1969-04-04
K00006;Beata;Baran;jan.nowak.example.com;645 814 546;90020991028;1990-02-09
K00007;Krzysztof;Mazur;krzysztof.mazur7@demo.org;+48 451 380 619;04242380438;2004-04-23
K00008;Wojciech;Stępień;wojciech.stepien8@demo.org;12345;79050211153;1979-05-02
K00009;Anna;Kozłowski;anna.kozlowski9@poczta.pl;;70043070746;1970-04-30
K00010;Beata;Kozłowski;beata.kozlowski10@firma.pl;203 012 747;56100165185;1956-10-01
K00011;Łukasz;Kozłowski;lukasz.kozlowski11@demo.org;+48 159 791 448;1234567890;1968-12-16
K00012;Robert;Jankowski;robert.jankowski12@testmail.pl;449459767;55100309393;1955-10-03
K00013;Marcin;Piotrowska;anna@@firma.pl;286-946-998;65032676559;1965-03-26
K00014;Rafał;Kowalczyk;rafal.kowalczyk14@firma.pl;696 516 750;80052542455;1980-05-25
K00015;Wojciech;Stępień;wojciech.stepien15@testmail.pl;468 579 590;;1981-12-02
K00016;Joanna;Mazur;joanna.mazur16@example.com;498-195-269;84021277768;1984-02-12
K00017;Michał;Król;michal.krol17@poczta.pl;abc-123-456;61040160611;1961-04-01
K00018;Monika;Wiśniewski;monika.wisniewski18@poczta.pl;943 774 261;56022024885;1956-02-20
K00019;Natalia;Nowak;piotr@testmail;298984484;64021405600;1964-02-14
K00020;Natalia;Woźniak;natalia.wozniak20@demo.org;+48 500 581 573;93111114665;1993-11-11
K00021;Zofia;Kozłowski;zofia.kozlowski21@example.com;688 215 624;80082707288;
K00022;Rafał;Wiśniewski;rafal.wisniewski22@firma.pl;092 793 809;59120774656;1959-12-07
K00023;Monika;Woźniak;monika.wozniak23@demo.org;867124576;83062724969;1983-06-27
K00024;Adam;Jabłońska;ewa@.pl;+48 132 151 302;59041903816;1959-04-19
K00025;Robert;Wieczorek;robert.wieczorek25@demo.org;862-897-838;92072966533;1992-07-29
K00026;Łukasz;Wójcik;lukasz.wojcik26@testmail.pl;+48 643 600 809;abcdefghijk;1968-05-14
K00027;Michał;Mazur;michal.mazur27@poczta.pl;892 889 345;94102200455;1994-10-22
K00028;;Kozłowski;robert.kozlowski28@demo.org;+48 575 674 736;93061106574;1993-06-11
K00029;  Barbara  ;Olszewska;barbara.olszewska29@poczta.pl;145-141-818;69111520407;1969-11-15
K00030;Łukasz;Wójcik;lukasz.wojcik30@demo.org;885863755;75020952710;1975-02-09
K00031;Monika;Jabłońska;monika.jablonska31@testmail.pl;+48 123 45 67;68120449509;1968-12-04
K00032;Karolina;Jabłońska;karolina.jablonska32@poczta.pl;+48 432 443 535;75111231166;1975-11-12
K00033;Monika;Nowak;monika.nowak33@poczta.pl;538799628;64081588809;1964-08-15
K00034;Łukasz;Pawlak;lukasz.pawlak34@demo.org;631 714 669;58112794034;1958-11-27
K00035;Piotr;Król;piotr.krol35@example.com;614 256 346;72011771879;1999-13-04
K00036;Joanna;Lewandowski;joanna.lewandowski36@example.com;+48 730 159 218;03252692629;2003-05-26
K00037;Robert;;robert.michalska37@poczta.pl;965 295 968;70053139697;1970-05-31
K00038;Michał;Jankowski;michal.jankowski38@poczta.pl;203 628 432;99010840911;1999-01-08
K00039;Monika;Jankowski;monika.jankowski39@testmail.pl;926181042;73121813864;1973-12-18
K00040;Katarzyna;Sikora;katarzyna.sikora40@testmail.pl;814-532-534;95061026287;1995-06-10
K00041;Zofia;  DĄBROWSKA ;zofia.dabrowska41@firma.pl;770248566;61102330224;1961-10-23
K00042;Robert;Woźniak;robert.wozniak42@firma.pl;813164166;90010642398;1990-01-06
K00043;Sebastian;Nowak;marcin albiniak@example.com;967184777;74041900014;1974-04-19
